Your initials,"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Basic info,Some basic information about the space,Text description of space,Who can use the space?,Type of space,In library,Street address,Floor,Decimal GPS coordinates (lattitude) eg 52.197949,Decimal GPS coordinates (longitude) eg 0.122951,Opening hours ,Access restrictions,Description of access restriction,Disabled access,Website URL,Phone number,Twitter,Facebook page,Disciplined?,Relaxed or informal?,Historic?,Modern?,Inspiring or thought provoking?,Cosy?,Social?,Friendly or welcoming?,Strictly silent,Whispers,Background chatter,Animated discussion,Music playing,Features & facilities,Food & drink allowed,Natural daylight,Attractive views out of the window,Large desks,Free Wifi,No WiFi,Computers,Laptops allowed,Plug sockets,Phone signal,Printers and copiers,Whiteboards,Projector,Outdoor seating,Bookable,Toilets nearby,Close to refreshments,Close to a place to take a break,"If this is a café, restaurant or bar how expensive is it?(1 = cheap, 5 = expensive)",...in private?,...close to others?,...alongside friends?,...in a group?,Tags
ssvp,General Seating Areas - Charles Thackrah - Atrium (Ground Floor),"Ground Floor, Charles Thackrah Building.  Campus Map Ref 15 https://www.leeds.ac.uk/campusmap",General Seating Area,mordern seating area with small tables and wall attached tables. Occationally busy. Perfect place to take a break or prepare before class. ,Anyone (public),General Seating Area,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80699746,-1.56084648,9am-6pm,no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,,,,,x,,x,,,x,,,,x,,,,x,x,,,x,,,x,x,x,,,,,,x,x,x,,,x,x,x,"moreden, relaxed, small tables"
nzm,IT Cluster - Chemical and Process Engineering - G06,105 Seat Capacity. Campus Map Ref 48 https://www.leeds.ac.uk/campusmap,IT Cluster,24 hour cluster with rows of desks with clusters . Perfect for day or night social studying with access to water fountain .,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.81015521,-1.55714428,24 hours,no,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF5F6,1133432444,,,,x,,x,x,,x,x,,,,x,,,,x,,x,x,,x,x,x,x,x,,,x,,x,x,x,,x,x,x,x,"24_hours , social , modern"
nzm,IT Cluster - Chemistry and Chemistry West Block - 1.44,23 Seat Capacity. Campus Map Ref 55 https://www.leeds.ac.uk/campusmap,IT Cluster,Private study space for focused study .,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",First Floor,53.80843709,-1.553410997,9am-5pm (Monday to Friday ),no,,yes,not required,113343644,,,x,,,,x,,,,x,,,,,,,x,,,x,,x,x,,,,x,x,,,x,,,,x,x,,x,"silent , clusters , projector"
nzm-LOCKED,IT Cluster - Chemistry and Chemistry West Block - 1.44A,11 Seat Capacity. Campus Map Ref 55 https://www.leeds.ac.uk/campusmap,IT Cluster,,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",First Floor,53.80843709,-1.553410997,all day,,,yes,not required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nzm,IT Cluster - Chemistry and Chemistry West Block - 1.46 (Ingold),71 Seat Capacity. Campus Map Ref 55 https://www.leeds.ac.uk/campusmap,IT Cluster,Bright large and social cluster room with variety of desks. Comfortable chairs perfect for long hours of individual or group work .,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",First Floor,53.80843709,-1.553410997,9am-5pm (Monday to Friday ),no,,yes,not required,113343644,,,x,,,x,x,,x,x,,x,,,,,,x,,x,x,,x,x,x,,x,,,,,x,,,,x,x,x,,"bright , comfortable , clusters"
nzm,IT Cluster - Chemistry and Chemistry West Block - 140 (Cohen),98 Seat Capacity. Campus Map Ref 55 https://www.leeds.ac.uk/campusmap,IT Cluster,Big mint room with large lines of computer desks. Silent and busy study space.,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",First Floor,53.80843709,-1.553410997,9am-5pm (Monday to Friday ),no,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF6CD,113343644,,,x,x,,,,x,,x,x,,,,,,,x,,x,x,,x,x,x,,x,x,x,,,x,,,,x,,,,"busy , bright , clusters"
ssvp,IT Cluster - Clarendon Building - G04,50 Seat Capacity. Campus Map Ref 20 https://www.leeds.ac.uk/campusmap,IT Cluster,classroom with 4 computer rows. Comfortable chairs.,Students,IT Cluster,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80744637,-1.560460796,Check timetable for free times,no,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF5C1,,,,x,,,x,,x,,,x,,,,,,,x,,x,x,,x,x,x,x,,x,x,,,x,x,,,x,x,,,"computers, silent, clusters"
ssvp,IT Cluster - Clarendon Building - G07, Campus Map Ref 20 https://www.leeds.ac.uk/campusmap,IT Cluster,classroom with 4 computer rows. Comfortable chairs.,Students,IT Cluster,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80744637,-1.560460796,Check timetable for free times,no,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF5C2,,,,x,,,x,,,,,x,,,,,,,x,,x,x,,x,x,x,x,,x,x,,,x,,,,x,x,,,"computers, silent, clusters"
ssvp,IT Cluster - Clothworkers' Building Link - 140 (Richard Hughes),45 Seat Capacity. Campus Map Ref 34 https://www.leeds.ac.uk/campusmap,IT Cluster,Big clusters area with No drinks or food allowed.,Students,IT Cluster,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",First Floor,53.80760533,-1.556592187,Check timetable for free times,no,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF6CC,,,,x,,,x,,,,,x,,,,,,,x,,x,x,,x,x,x,x,,x,x,,,x,,,,x,x,,,"computers, silent, clusters"
ssvp,IT Cluster - Clothworkers' Building Link - G.34,28 Seat Capacity. Campus Map Ref 34 https://www.leeds.ac.uk/campusmap,IT Cluster,Cluster room with a variety of desks for individual or group study .,Students,IT Cluster,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80760533,-1.556592187,Check timetable for free times,no,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF7E0,,,,x,,,x,,,,,x,,,,,,,x,,x,x,,x,x,x,x,,x,x,,,x,,,,x,x,,,"computers, silent, clusters"
ssvp,IT Cluster - E C Stoner Building - 6.61,47 Seat Capacity. Campus Map Ref 73 https://www.leeds.ac.uk/campusmap,IT Cluster,classrooms of big cluster with multiple computers and comfortable chairs. ,Students,IT Cluster,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 6,53.80538144,-1.552767918,Check timetable for free times,no,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF5E0,,,,x,,,x,,,,,x,,,,,,,x,,x,x,,x,x,x,x,,x,x,,,x,,,,x,x,,,"computers, silent, clusters"
ssvp,IT Cluster - E C Stoner Building - 6.68,58 Seat Capacity. Campus Map Ref 73 https://www.leeds.ac.uk/campusmap,IT Cluster,classrooms of big cluster with multiple computers and comfortable chairs. ,Students,IT Cluster,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 6,53.80538144,-1.552767918,Check timetable for free times,no,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF5E1,,,,x,,,x,,,,,x,,,,,,,x,,x,x,,x,x,x,x,,x,x,,,x,,,,x,x,,,"computers, silent, clusters"
ssvp,IT Cluster - Esther Simpson Building - 109,Campus Map Ref 12 https://www.leeds.ac.uk/campusmap,IT Cluster,Cluster room surrounded by big windows with high views on campus . Perfect for focused study with acess to computers.,Students,IT Cluster,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",First Floor,53.80655803,-1.559424814,Check timetable for free times,no,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!39BE8717F501B6B3EB98ACD12260C99B,,,,x,,,x,,,,,x,,,,,,,x,,x,x,,x,x,x,x,,x,x,,,x,,,,x,x,,,"computers, silent, clusters"
nzm,"IT Cluster - Fine Art, History of Art and Cultural Studies - B16 (West Teaching Labs)",33 Seat Capacity. Campus Map Ref 38 https://www.leeds.ac.uk/campusmap,IT Cluster,Traditional cluster with rows of desks. Relaxed environment for 24 hours study ,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Basement,53.80779573,-1.55751253,24hours,no,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF7E2,1133435260,,,x,,x,,,,x,,,x,,,,,,,,x,x,,x,x,x,x,x,x,x,,,x,,x,,x,x,,,
nzm,"IT Cluster - Fine Art, History of Art and Cultural Studies - G29 (West Teaching Labs)",31 Seat Capacity. Campus Map Ref 38 https://www.leeds.ac.uk/campusmap,IT Cluster,Inspiring cluster room surrounded by big windows with high views of campus . ,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80779573,-1.55751253,Check timetable for free times,no,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF7E3,1133435260,,,x,,x,,x,,x,x,x,,,,,,,x,x,x,x,,x,x,x,x,x,,x,,,x,,x,,x,x,,,"views , historic , inspiring"
nzm,IT Cluster - Irene Manton Building - 7.90,45 Seat Capacity. Campus Map Ref 91 https://www.leeds.ac.uk/campusmap,IT Cluster,Rows of It clusters with a full left side of windows that are facing a beautiful side of campus allowing plenty of natural light into the study area.,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 7,53.80438666,-1.554864458,24 hours,no,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF7D6,1132431751,,,,x,,x,x,x,x,x,,x,,,,,,x,x,x,x,,x,x,x,x,,,x,,,x,x,x,,x,x,x,,"views, modern , clusters"
nzm,IT Cluster - Irene Manton Building - 7.96,40 Seat Capacity. Campus Map Ref 91 https://www.leeds.ac.uk/campusmap,IT Cluster,Modern big cluster with plenty of big windows facing a beautiful  side of campus .,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 7,53.80438666,-1.554864458,24 hours,no,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF7D5,1132431751,,,x,,,x,x,,x,x,x,,,,,,,x,x,x,x,,x,x,x,x,,,x,,,x,x,x,,x,x,,,"views , modern , clusters "
ssvp,IT Cluster - Maurice Keyworth Building - 2.21,70 Seat Capacity. Campus Map Ref 19 https://www.leeds.ac.uk/campusmap,IT Cluster,big cluster with. Multiple computers. ,Students,IT Cluster,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Second Floor,53.80801512,-1.561132185,Open throughout day,no,,yes,not required,,,,x,,,,,,,,,x,,,,,,x,,x,x,,x,x,x,x,,x,x,,,x,x,x,,x,x,,,"computers, silent, clusters"
nzm,IT Cluster - Mechanical Engineering - 5.34d,25 Seat Capacity. Campus Map Ref 50 https://www.leeds.ac.uk/campusmap,IT Cluster,Cluster room surrounded by big windows with high views on campus . Perfect for focused study with acess to computers.,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Fifth Floor,53.80958489,-1.55589859,08:00-18:00(Monday to Friday ),no,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF8C8,1133432186,,,x,,,x,x,,,x,x,,,,,,,x,x,x,x,,x,x,x,x,x,x,,,,x,,,,x,x,,,"views , daylight , focused"
ssvp,IT Cluster - Parkinson Building - B.26,15 Seat Capacity. Campus Map Ref 60 https://www.leeds.ac.uk/campusmap,IT Cluster,Cluster room surrounded by big windows with high views on campus . Perfect for focused study with acess to computers.,Students,IT Cluster,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Basement,53.80776358,-1.552688693,Open throughout day,no,,yes,not required,,,,x,,,,,,,,,x,,,,,,x,x,x,x,,x,x,x,x,,x,x,,,x,,x,,x,x,,,"computers, silent, clusters"
ssvp,IT Cluster - Parkinson Building - B.32 (Woolhouse), Campus Map Ref 55 https://www.leeds.ac.uk/campusmap,IT Cluster,Cluster room with a variety of desks for individual or group study .,Students,IT Cluster,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Basement,53.80776358,-1.552688693,Open throughout day,no,,yes,not required,,,,x,,,,,,,,,x,,,,,,x,x,x,x,,x,x,x,x,,x,x,,,x,,x,,x,x,,,"computers, silent, clusters"
nzm,IT Cluster - Psychology (37 and 41 University Road) - 1.43,48 Seat Capacity. Campus Map Ref 37 https://www.leeds.ac.uk/campusmap,IT Cluster,Circular bright clusters room with pretty views on campus available 24hours.Access to water fountain.,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",First Floor,53.80743844,-1.557579705,24 hours,,,,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF853,1133435724,,,x,,,x,x,,x,x,,x,,,,,,x,x,,x,,x,x,x,x,x,,x,,,x,,x,,x,x,,,"views , bright , 24hours "
nzm,IT Cluster - Psychology (37 and 41 University Road) - 1.45,58 Seat Capacity. Campus Map Ref 37 https://www.leeds.ac.uk/campusmap,IT Cluster,Rows of IT clusters on a theater style.,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",First Floor,53.80743844,-1.557579705,09:00-18:00(Monday to Friday),,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF852,1133435724,,,x,x,,x,x,,x,x,x,,,,,,,x,x,,x,,x,x,x,x,x,x,x,,,x,x,x,,x,x,,,"bright ,modern , clusters"
nzm,IT Cluster - Social Sciences Building - 10.11,40 Seat Capacity. Campus Map Ref 82 https://www.leeds.ac.uk/campusmap,IT Cluster,Big cluster room at the Social Sciences Building.Rows of desks with computers near a place to take a break . Perfect for studying between lectures on campus.,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 10,53.80665,-1.554457453,all day,no,,yes,not required,,,,x,,,,,,x,x,x,,,,,,,x,,,x,,x,x,x,x,x,x,x,x,,x,,x,,x,,,,"clusters , convinient_location , focused"
nzm,IT Cluster - Worsley Building - 8.038,52 Seat Capacity. Campus Map Ref 95 https://www.leeds.ac.uk/campusmap,IT Cluster,Cluster room with a variety of desks for individual or group study .,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 8,53.80330122,-1.555752941,09:00-17:00(Monday to Friday(,no,,yes,not required,33333,,,x,,,x,,,,,x,,,,,,,,,x,x,,x,x,x,x,x,,x,,,x,,,,x,x,,x,"clusters , silent "
nzm,IT Cluster - Worsley Building - 8.039,51 Seat Capacity. Campus Map Ref 95 https://www.leeds.ac.uk/campusmap,IT Cluster,Big room that offers clusters on high and normal desks. Modern and strictly silent environment.,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 8,53.80330122,-1.555752941,09:00-17:00(Monday to Friday(,no,,yes,not required,1132440111,,,x,,,,,,,,x,,,,,,,,,x,x,,x,x,x,,x,,x,,,x,,,,x,x,,,"silent , clusters , modern"
nzm,IT Cluster - Worsley Building - 7.027r,12 Seat Capacity. Campus Map Ref 95 https://www.leeds.ac.uk/campusmap,IT Cluster,Big clusters area with adjustable size.No drinks or food allowed.,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 7,53.80330122,-1.555752941,tbc,,,,not on mytimetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nzm,IT Cluster - Worsley Building - 7.027s,24 Seat Capacity. Campus Map Ref 95 https://www.leeds.ac.uk/campusmap,IT Cluster,Big clusters area with adjustable size,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 7,53.80330122,-1.555752941,tbc,,,,not on mytimetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nzm,IT Cluster - Worsley Building - 8.049O (Fourman),52 Seat Capacity. Campus Map Ref 95 https://www.leeds.ac.uk/campusmap,IT Cluster,Big mint room with plenty of available clusters to use. Comfortable chairs and big desk space perfect for focused study .,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 8,53.80330122,-1.555752941,Check timetable for free times,,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF724,,,,x,,,,,,,,x,,,,,,,,,x,x,,x,x,x,,,,x,,,x,,x,,x,x,,,"clusters, silent , strict"
nzm,IT Cluster - Worsley Building - 8.049P (Fourman),53 Seat Capacity. Campus Map Ref 95 https://www.leeds.ac.uk/campusmap,IT Cluster,Big room with clusters available,Students,IT Cluster,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 8,53.80330122,-1.555752941,Check timetable for free times,no,,yes,https://mytimetable.leeds.ac.uk/link?timetable.id=202122!location!8F4AB242729B06218C8F007C556BF725,1132440111,,,x,,,,x,,,,,x,,,,,,,,x,x,,x,x,x,x,,,x,,,x,,,,x,x,,,"clusters , focused_study"
nzm,"Edward Boyle 11th , 12 th floor",Study space and clusters,"Library area with individual study spaces and clusters , access to books , prayer room, bookable study spaces as well silent zone at the south side.","Silent place for studying with access to books , clusters and nice high views to the campus .Perfect place for focused study and exam preparation.",Students ,Library ,yes,"University of Leeds, Leeds LS2 9JT","Level 11,12",53.806102,-1.554686,"08:00-20:00(Monday-Thursday),08:00-19:00(Friday),10:00-17:00(Saturday),10:00-12:00(Sunday)",no,Library Card needed,yes,https://library.leeds.ac.uk/, 0113 343 5663,UoLLibrary,Edward Boyle Library ,x,x,,,x,,,x,,x,,,,,only drinks,x,x,x,x,,x,x,x,x,x,,,x,x,x,x,x,,x,x,,,"books , views , busy, silent "
nzm,Edward Boyle 10th floor,Study space desks and group studying couches,Individual study spaces on the left and group study spaces on the right ,Busy study place for people that like working alonside others . Couches with big tables can be used for comfortable group working on a nice environment .Extra couches on the side for anybody that wants to read or take a break inside the library .,Students ,Library ,yes,"University of Leeds, Leeds LS2 9JT",Level 10,53.806102,-1.554686,"08:00-20:00(Monday-Thursday),08:00-19:00(Friday),10:00-17:00(Saturday),10:00-12:00(Sunday)",no,Library Card needed,yes,https://library.leeds.ac.uk/, 114 343 5663,UoLLibrary,Edward Boyle Library ,x,x,,,,x,x,x,,,x,,,,only drinks,x,x,x,x,,x,x,x,x,x,,,x,x,x,x,x,,x,x,x,x,"group , relax , deep_focus"
nzm,Edward Boyle 13th floor,Study space only for post graduates,"Study space, clusters and resources exclusive for post graduate students.",Silent libary for postgruate students with bookable group study rooms,PG Students,Library ,yes,"University of Leeds, Leeds LS2 9JT",Level 13,53.806102,-1.554686,"08:00-20:00(Monday-Thursday),08:00-19:00(Friday),10:00-17:00(Saturday),10:00-12:00(Sunday)",no,PG Library Card needed,yes,https://library.leeds.ac.uk/, 115 343 5663,UoLLibrary,Edward Boyle Library ,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nzm,Edward Boyle 8th floor,,"Library area can be used for talking in seminars , clusters and access to journals","Study space for people to attend seminars and being able to participate , study with friends and explore multiple journals.Available bookable study spaces / meeting rooms",Students,Library ,yes,"University of Leeds, Leeds LS2 9JT",Level 8,53.806102,-1.554686,"08:00-20:00(Monday-Thursday),08:00-19:00(Friday),10:00-17:00(Saturday),10:00-12:00(Sunday)",no,Library Card needed,yes,https://library.leeds.ac.uk/, 115 343 5663,UoLLibrary,Edward Boyle Library ,x,x,,,,x,x,x,,,x,,,,only drinks,x,x,x,x,,x,x,x,x,x,x(on private rooms),x(on private rooms),x,x,x,x,x,,x,x,x,x,"talking , group , meetings"
ssvp,Health sciences library,,"Floor 7, Worsley building, university of Leeds ",Quite studying place with the environment. Books available (related to health sciences) ,students,Library,yes,"7, Worsley Building, Clarendon Way, Woodhouse, Leeds LS2 9NL",7th floor,53.8034079,-1.5561332,"08:00-00:00(Monday-Thursday),08:00-19:00(Friday),10:00-17:00(Saturday),12:00-00:00(Sunday)",yes,Library Card needed,yes,https://library.leeds.ac.uk/,,UoLLibrary,Health Sciences Library,x,x,,,,x,,,x,x,,,,,only drinks,,,x,x,,x,x,x,x,x,,,,,x,x,x,,x,x,,,"Silent, study mode, books, Library"
ssvp,"Group study rooms, health science library",,"7th floor, health science library,Worsley Building, Clarendon Way, Woodhouse, Leeds LS2 9NL",Group study rooms for group work( booking required,students,Library,yes,"6, Worsley Building, Clarendon Way, Woodhouse, Leeds LS2 9NL",7th floor,53.8034079,-1.5561332,"08:00-00:00(Monday-Thursday),08:00-19:00(Friday),10:00-17:00(Saturday),12:00-00:00(Sunday)",yes,Library Card needed,yes,https://library.leeds.ac.uk/,,UoLLibrary,Health Sciences Library,x,,,,,x,,,x,x,,,,,only drinks,,,,x,,x,x,x,x,x,x(on private rooms),x(on private rooms),,x,x,x,x,,x,x,,x,Group study room 
ssvp,Group study space,,"Floor 7,Worsley Building, Clarendon Way, Woodhouse, Leeds LS2 9NL",Group study space for groups inside the library,students,Library,yes,"6, Worsley Building, Clarendon Way, Woodhouse, Leeds LS2 9NL",7th floor,53.8034079,-1.5561332,"08:00-00:00(Monday-Thursday),08:00-19:00(Friday),10:00-17:00(Saturday),12:00-00:00(Sunday)",yes,Library Card needed,yes,https://library.leeds.ac.uk/,,UoLLibrary,Health Sciences Library,,x,,,,x,x,,,x,x,,,,only drinks,,,x,x,,x,x,x,x,x,,,,,x,x,x,,x,x,,,Group study space 
ssvp,"Silent study 3rd floor, Laidlaw library",,"Silent study space, 3rd floor Laidlaw library",Silent study space inside the Laidlaw library. Enough seating area and,students,Library,yes,"Laidlaw library,University of, Leeds LS2 9JT",3rd,53.8066013,-1.5519768,"08:00-00:00(Monday-Thursday),08:00-19:00(Friday),10:00-17:00(Saturday),12:00-00:00(Sunday)",yes,Library Card needed,yes,https://library.leeds.ac.uk/,,UoLLibrary,Laidlaw library University of Leeds,x,,,,,x,,,x,x,,,,,only drinks,x,x,x,x,,x,x,x,x,x,,,,,x,x,x,,x,x,,,"Silent study, concentrated study "
ssvp,2nd floor Laidlaw library,,Silent study 2,Silent study space with enough seats. Group boots also available. ,students,Library,yes,"Laidlaw library,University of, Leeds LS2 9JT",2nd floor,53.8067884,-1.5512606,"08:00-00:00(Monday-Thursday),08:00-19:00(Friday),10:00-17:00(Saturday),12:00-00:00(Sunday)",yes,Library Card needed,yes,https://library.leeds.ac.uk/,,UoLLibrary,Laidlaw library University of Leeds,x,,,,,x,,,x,,,,,,only drinks,x,x,x,x,,x,x,x,x,x,,,,,x,x,x,,x,x,,,"Silent Study space, group booths available, inside library"
ssvp,Silent study space 1,,Silent study space on 1st floor Laidlaw library,"Study space inside the library, closed doors, very silent ",students,Library,yes,"Laidlaw library,University of, Leeds LS2 9JT",1st floor,53.806788,-1.551261,"08:00-00:00(Monday-Thursday),08:00-19:00(Friday),10:00-17:00(Saturday),12:00-00:00(Sunday)",yes,Library Card needed,yes,https://library.leeds.ac.uk/,,UoLLibrary,Laidlaw library University of Leeds,x,,,,,x,,,x,,,,,,only drinks,,,,x,,x,x,x,x,x,,,,,x,x,x,,x,x,,,"Silent study space, good for concentrated study "
ssvp,Group study booths ,,"Group study booths, 1st floor Laidlaw library",Group study booths for a max group of 5 with monitor display,students,Library,yes,"Laidlaw library,University of, Leeds LS2 9JT",1st floor,53.80666,-1.551973,"08:00-00:00(Monday-Thursday),08:00-19:00(Friday),10:00-17:00(Saturday),12:00-00:00(Sunday)",yes,Library Card needed,yes,https://library.leeds.ac.uk/,,UoLLibrary,Laidlaw library University of Leeds,x,,,,,x,,,,x,x,,,,only drinks,,,x,x,,x,x,x,x,x,x(on private rooms),x(on private rooms),,x,x,x,x,,x,x,,x,"Study booths, group of 5, near cafe nero"
ssvp,Footsteps fund room,,Rare end of 1st floor Laidlaw library,Casual seating area where food and drinks are allowed. Partially noisy ,students,Library,yes,"Laidlaw library,University of, Leeds LS2 9JT",1st floor,53.80666,-1.551973,"08:00-00:00(Monday-Thursday),08:00-19:00(Friday),10:00-17:00(Saturday),12:00-00:00(Sunday)",yes,Library Card needed,yes,https://library.leeds.ac.uk/,,UoLLibrary,Laidlaw library University of Leeds,,x,,,,x,x,x,,,x,x,,,food and drinks,x,x,,x,,,x,x,x,x,,,,,x,x,x,,,x,x,x,"Casual seating area, little noises"
nzm,Brotherton Library,Silent classic style library ,Silent study space on a classical biulding.,Inspiring study place with group study areas on floor 2 of the main building and floor 3 of the west building .,Students,Library,yes,Brotherton Library,2nd floor,,,"08:00-20:30(Monday to Thursday),08:00-19:00(Friday), 10:00-17:00(Saturday and Sunday)",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
